Latitude,Longitude,Inspection_Date,Year,day_of_year,mean_varroa,n,x_km,y_km,TrapezoidAverage,SpringFloral,SummerFloral,FallFloral,Nesting,Insecticide,n_colonies_5km,Monitor_prox,Treat_prox,Fed_Solid,Fed_Syrup,Fed_pollen
38.40722099999999,-90.145314,2018-06-17T00:00:00Z,2018,168,5.5,4,-43.26876004484421,-165.26957119635972,66.52090852116665,29.754129664480885,38.79726934228614,25.685114840127792,25.593575839414157,302.1044958253641,15,1,1,1,0,0
38.42294,-88.68922,2018-08-16T00:00:00Z,2018,228,2.75,4,83.92270470254613,-165.01979516951096,82.49414339755613,40.08740169743768,45.946997733204014,33.00937603258502,33.302283289932106,103.74467967181306,3,1,NA,0,1,1
38.430918000000005,-90.13729,2018-07-14T00:00:00Z,2018,195,0.5,4,-42.51635748205718,-162.65261019764952,63.225916054221045,27.073356038137163,37.6516337412795,24.063956604494724,23.306442800257983,387.7029139630391,17,1,1,0,1,1
38.46682,-89.23683,2018-07-31T00:00:00Z,2018,212,5,4,36.15056844982586,-159.82225718982178,58.879515255616546,24.68778211529448,35.40405906581619,22.265256817979385,20.980004970072983,423.4870834086378,7,1,1,0,1,1
38.553596,-89.049745,2019-07-12T00:00:00Z,2019,193,1.5,4,52.552959390090834,-150.33324483737323,70.51828855361765,31.60824929649676,41.41048667219378,27.143970766783944,24.790025095872593,284.46163582519415,5,0,0,0,1,1
38.591826999999995,-89.90403400000001,2019-07-28T00:00:00Z,2019,209,6.5,2,-21.842854996868176,-145.1625937999741,75.86814667609225,35.222431910371306,43.23775334344711,29.778530139896016,25.63416253303583,243.26761759503984,12,1,1,0,1,0
38.60533000000001,-89.885556,2019-10-03T00:00:00Z,2019,276,3,1,-20.207581049172237,-143.69094390729595,76.25242953333785,35.475898487428694,43.38151548160332,29.992418340053256,25.88907719542501,240.4132087131648,12,0,1,0,1,0
38.641596,-89.982673,2019-08-17T00:00:00Z,2019,229,2,1,-28.595178382282903,-139.51732784209787,77.81870063261779,36.10808978470356,44.09729433112606,30.86179579014036,24.523545226899344,212.22820303133796,14,1,0,0,1,0
38.675007,-88.438744,2019-05-24T00:00:00Z,2019,144,9,2,105.82725629581994,-137.09402985196257,73.22556465977388,33.699224586945085,42.37710672130952,28.05800063081438,26.475755761144487,271.463882460154,0,1,1,0,0,0
38.705881,-87.76002900000002,2018-07-21T00:00:00Z,2018,202,12.5,2,164.8671801788503,-133.516065921848,85.24930341724244,42.567365127829994,46.94143786292361,34.071038940333466,31.67242106888024,153.14139541214024,7,1,1,0,1,1
38.725654000000006,-88.15778399999999,2018-06-16T00:00:00Z,2018,167,11.5,8,130.26538185098744,-131.46250137394625,67.12340664088048,29.73472362068386,40.08827370234633,24.33515896600437,23.354043070019827,343.29616397852374,3,NA,NA,0,0,0
38.73290600000001,-89.85863499999999,2018-05-26T00:00:00Z,2018,146,2,3,-17.626843914879196,-129.56738624281115,82.26675892594669,38.934855533345655,46.01674031561608,33.560938855422165,28.87558043061892,178.74529714236988,11,0,1,0,0,0
38.73912500000001,-90.0747066,2018-06-15T00:00:00Z,2018,166,3.25,4,-36.402589203424256,-128.54173716003214,82.3714362714397,37.11799126003921,47.11685082326824,33.38116435242719,19.797566530101232,65.71371280537414,15,1,NA,0,0,0
38.76555600000001,-89.28720100000001,2018-05-19T00:00:00Z,2018,139,2,4,32.09912152424216,-126.61559507563364,62.12820412069512,27.333667434591632,36.65786058391765,23.611831885054812,23.05943668002624,300.6527208702542,7,0,0,1,0,0
